	Мария Грипе

	ЭЛЬВИС КАРЛССОН

	ПОВЕСТЬ





1


	Эльвис кереуетінде кеудешесінің түймелерімен әуреленіп ойнап отыр.

	Бүгін жексенбі. Эльвис оянғалы қашан. Терезе жапқыштар жапсарының арасындағы саңылаудан күннің жап-жарық сәулесі себездейді. Таң әлдеқашан атып кеткен болар. Сірә, қазір сәске кезі. Бөлме іші жып-жылы.

	Эльвис кеудешесіндегі ілмектердің барлығын кезекпе-кезек байқап көреді. Бір түймесін ағытады, екіншісін түймелейді. Қап, бір түймесі үзіліп түсті! Кереуеттің астына қарай зырлап кетті ме екен? Көрінбейтін тәрізді... Түсіп іздеуіне тура келеді. Онда аналар оянып кетеді ғой...

	Эльвис папасы мен мамасына қарайды. Олар әрқайсысы өз кереуетінде тұяқ серіппестен қалың ұйқыда жатыр. Әр жексенбі сайын, міне, осылай. Бұлардың орындарынан тұруға хал–шамалары жоқ. Өйткені өткен түннің әлдебір уағына шейін олар қонақта болып келді. Таң алдына қараған мезгілде ғана ұйықтауға жатқан.

	Барлық мамалар мен папалардың сенбі сайын қонаққа барып тұрулары — дағдылары деседі. Бос уақыт берілген соң, оны қалайда лайықты пайдаланулары керек қой, әйтпесе апта бойы жұмыстан бір босамайды. Былайғы күндері сауық құруға мұршалары қайда. Үлкендердің осы дағдылы әдеттеріне Эльвистің де көндігуі керек, бала дегендердің барлығы көнгіш келеді дейді мамасы. Балаларға жақсы ғой, олардың уайым-қамы жоқ. Сондықтан уақыт өлтіру дегеннің де қажеті шамалы.

	Уақыт өлтіру — сол сауық-сайран құру дегеннің өзі. Былайша айтқанда, бұл — ата-анаң қонақ шақырады, немесе өздері қонаққа барады деген сөз. Бірақ Эльвистің де толып жатқан ісі бар, айналысатын ешқандай шаруасы жоқ деген сөз бұған қатысты болмас. Тек мұны дәлелдеп жату керексіз, бірден-ақ тойтарыс алады: мектепке әзір бармайды екен, демек, оның айналысатын ісі де болмақ емес. Мектепке барғанда ғана ол ненің не екенін түсіне бастайды, сонда ғана ол үшін нағыз өмірдің өзі басталады,— дейді үлкендер.

	Үзілген түймеге қолын бір сілтеп, Эльвис мамасының оқитын журналын қолына алды.

